"TaxID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"4337","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Primulaceae","Anagallis","Anagallis arvensis"
"306292","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Primulaceae","Anagallis","Anagallis minima"
"1620016","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anatherum","Anatherum brachystachyum"
"2078704","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anatherum","Anatherum capillipes"
"1969216","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anatherum","Anatherum floridanum"
"79824","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Andropogon","Andropogon gerardi"
"330547","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anatherum","Anatherum glomeratum"
"1620017","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anatherum","Anatherum gyrans"
"1969217","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anatherum","Anatherum longiberbe"
"2491219","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anatherum","Anatherum mohrii"
"179040","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anatherum","Anatherum ternarium"
"2078708","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anatherum","Anatherum tracyi"
"1079125","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anatherum","Anatherum virginicum"
"666721","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Anemone","Anemone berlandieri"
"174160","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Anemone","Anemone caroliniana"
"46976","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Anemone","Anemone quinquefolia"
"168008","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Anemone","Anemone virginiana"
"2831621","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Apiaceae","Angelica","Angelica dentata"
"2831632","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Apiaceae","Angelica","Angelica triquinata"
"2065846","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Apiaceae","Angelica","Angelica venenosa"
"183227","Viridiplantae","Streptophyta","Magnoliopsida","Malvales","Malvaceae","Anoda","Anoda cristata"
"1240354","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Antennaria","Antennaria parlinii"
"49065","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Antennaria","Antennaria plantaginifolia"
"49070","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Antennaria","Antennaria solitaria"
"1056846","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anthaenantia","Anthaenantia rufa"
"1515708","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anthaenantia","Anthaenantia villosa"
"127977","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Anthemis","Anthemis arvensis"
"158220","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Anthemis","Anthemis cotula"
"29661","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Anthoxanthum","Anthoxanthum odoratum"
"54826","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Apiaceae","Anthriscus","Anthriscus caucalis"
"137667","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Antigonon","Antigonon leptopus"
"1053328","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","Alchemilla microcarpa"
"185702","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Apios","Apios americana"
"48520","Viridiplantae","Streptophyta","Magnoliopsida","Asparagales","Orchidaceae","Aplectrum","Aplectrum hyemale"
"61254","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Apocynaceae","Apocynum","Apocynum androsaemifolium"
"61254","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Apocynaceae","Apocynum","Apocynum androsaemifolium"
"13339","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Apocynaceae","Apocynum","Apocynum cannabinum"
"147071","Viridiplantae","Streptophyta","Magnoliopsida","Dioscoreales","Burmanniaceae","Apteria","Apteria aphylla"
"46964","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aquilegia","Aquilegia canadensis"
"3451","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aquilegia","Aquilegia vulgaris"
"3702","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis thaliana"
"347886","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Borodinia","Borodinia canadensis"
"925378","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabis","Arabis georgiana"
"63678","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Turritis","Turritis glabra"
"78191","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabis","Arabis hirsuta"
"359822","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Boechera","Boechera laevigata"
"81972","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabidopsis","Arabidopsis lyrata"
"486128","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Borodinia","Borodinia missouriensis"
"500751","Viridiplantae","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Boechera","Boechera patens"
"212810","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Arachis","Arachis glabrata"
"3818","Viridiplantae","Streptophyta","Magnoliopsida","Fabales","Fabaceae","Arachis","Arachis hypogaea"
"45207","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Araliaceae","Aralia","Aralia nudicaulis"
"45208","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Araliaceae","Aralia","Aralia racemosa"
"13341","Viridiplantae","Streptophyta","Magnoliopsida","Apiales","Araliaceae","Aralia","Aralia spinosa"
"63463","Viridiplantae","Streptophyta","Magnoliopsida","Gentianales","Apocynaceae","Araujia","Araujia sericifera"
"4217","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Arctium","Arctium lappa"
"143172","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Arctium","Arctium minus"
"13345","Viridiplantae","Streptophyta","Magnoliopsida","Ericales","Primulaceae","Ardisia","Ardisia crenata"
"410628","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Arenaria","Arenaria lanuginosa"
"254029","Viridiplantae","Streptophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Arenaria","Arenaria serpyllifolia"
"99307","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Papaveraceae","Argemone","Argemone albiflora"
"54796","Viridiplantae","Streptophyta","Magnoliopsida","Ranunculales","Papaveraceae","Argemone","Argemone mexicana"
"227496","Viridiplantae","Streptophyta","Magnoliopsida","Alismatales","Araceae","Arisaema","Arisaema dracontium"
"78371","Viridiplantae","Streptophyta","Magnoliopsida","Alismatales","Araceae","Arisaema","Arisaema triphyllum"
"348261","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aristida","Aristida stricta"
"348188","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aristida","Aristida condensata"
"348198","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aristida","Aristida dichotoma"
"348208","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aristida","Aristida gyrans"
"348217","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aristida","Aristida lanosa"
"348219","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aristida","Aristida longespica"
"348225","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aristida","Aristida mohrii"
"348227","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aristida","Aristida oligantha"
"348228","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aristida","Aristida palustris"
"348235","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aristida","Aristida purpurascens"
"348258","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aristida","Aristida spiciformis"
"348269","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Aristida","Aristida tuberculosa"
"12949","Viridiplantae","Streptophyta","Magnoliopsida","Piperales","Aristolochiaceae","Aristolochia","Aristolochia macrophylla"
"304188","Viridiplantae","Streptophyta","Magnoliopsida","Piperales","Aristolochiaceae","Aristolochia","Aristolochia serpentaria"
"35927","Viridiplantae","Streptophyta","Magnoliopsida","Piperales","Aristolochiaceae","Aristolochia","Aristolochia tomentosa"
"436459","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Arnica","Arnica acaulis"
"422314","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Arnoglossum","Arnoglossum atriplicifolium"
"1488545","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Arnoglossum","Arnoglossum ovatum"
"462386","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Arnoglossum","Arnoglossum plantagineum"
"2527769","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Arnoglossum","Arnoglossum reniforme"
"1488546","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Arnoglossum","Arnoglossum sulcatum"
"193298","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Aronia","Aronia x prunifolia"
"36594","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Aronia","Aronia arbutifolia"
"661339","Viridiplantae","Streptophyta","Magnoliopsida","Rosales","Rosaceae","Aronia","Aronia melanocarpa"
"52139","Viridiplantae","Streptophyta","Magnoliopsida","Poales","Poaceae","Arrhenatherum","Arrhenatherum elatius"
"86312","Viridiplantae","Streptophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","Artemisia ludoviciana"
